| kind | epoch | fold | iteration | loss |
|:--:|:--:|:--:|:--:|:--:|
| train | 0 | 0 | 99 | 1.8536217784881592 | 
| train | 0 | 0 | 199 | 1.8469930911064147 | 
| train | 0 | 0 | 299 | 1.8563844072818756 | 
| train | 0 | 0 | 399 | 1.859236658513546 | 
| train | 0 | 0 | 499 | 1.8699543769359588 | 
| train | 0 | 0 | 599 | 1.874915811419487 | 
| train | 0 | 0 | 699 | 1.8751053120408738 | 
| train | 0 | 0 | 799 | 1.8727936311066151 | 
| train | 0 | 0 | 899 | 1.8781410137812296 | 
| train | 0 | 0 | 999 | 1.8867839418649675 | 
| train | 0 | 0 | 1099 | 1.8844387111880563 | 
| train | 0 | 0 | 1199 | 1.8863539721568425 | 
| train | 0 | 0 | 1299 | 1.8883318780018734 | 
| train | 0 | 0 | 1399 | 1.8885025080612727 | 
| train | 0 | 0 | 1499 | 1.8944405621687572 | 
| train | 0 | 0 | 1599 | 1.8975744356215 | 
| train | 0 | 0 | 1699 | 1.903484284246669 | 
| train | 0 | 0 | 1799 | 1.9101257436143027 | 
| train | 0 | 0 | 1899 | 1.9119446485920957 | 
| train | 0 | 0 | 1999 | 1.9146602892279625 | 
| train | 0 | 0 | 2099 | 1.919082171462831 | 
| train | 0 | 0 | 2199 | 1.921513140743429 | 
| train | 0 | 0 | 2299 | 1.9249002145165983 | 
| train | 0 | 0 | 2399 | 1.9278809479872385 | 
| train | 0 | 0 | 2499 | 1.9333721200942993 | 
| train | 0 | 0 | 2599 | 1.9371440897538112 | 
| train | 0 | 0 | 2699 | 1.9400442454550002 | 
| train | 0 | 0 | 2799 | 1.9426923324806349 | 
| train | 0 | 0 | 2899 | 1.946081292875882 | 
| train | 0 | 0 | 2999 | 1.9492350602944692 | 
| train | 0 | 0 | 3099 | 1.9530295470453078 | 
| train | 0 | 0 | 3199 | 1.9561138536408544 | 
| train | 0 | 0 | 3299 | 1.9589018915277538 | 
| train | 0 | 0 | 3399 | 1.9618789693537881 | 
| train | 0 | 0 | 3499 | 1.9637568955762046 | 
| train | 0 | 0 | 3599 | 1.9671361510952314 | 
| train | 0 | 0 | 3699 | 1.9698464480928473 | 
| train | 0 | 0 | 3799 | 1.9719094523003227 | 
| train | 0 | 0 | 3899 | 1.9730512574391488 | 
| train | 0 | 0 | 3999 | 1.9759963334798814 | 
| train | 0 | 0 | 4099 | 1.97745955792869 | 
| train | 0 | 0 | 4199 | 1.9807971251578558 | 
| train | 0 | 0 | 4299 | 1.981971007419187 | 
| train | 0 | 0 | 4399 | 1.984137730950659 | 
| train | 0 | 0 | 4499 | 1.9859050823847453 | 
| train | 0 | 0 | 4599 | 1.9875782479151436 | 
| train | 0 | 0 | 4699 | 1.98725948904423 | 
| train | 0 | 0 | 4799 | 1.9901547381778557 | 
| train | 0 | 0 | 4899 | 1.9905348213351504 | 
| train | 0 | 0 | 4999 | 1.9911364831924439 | 
| train | 0 | 0 | 5099 | 1.9930930205653696 | 
| train | 0 | 0 | 5199 | 1.995605169557608 | 
| train | 0 | 0 | 5299 | 1.9965687366251677 | 
| train | 0 | 0 | 5399 | 1.9978233916229673 | 
| train | 0 | 0 | 5499 | 1.9996893989389593 | 
| train | 0 | 0 | 5599 | 2.0019541404076984 | 
| train | 0 | 0 | 5699 | 2.004008497355277 | 
| train | 0 | 0 | 5799 | 2.0051939716626856 | 
| train | 0 | 0 | 5899 | 2.006198844162084 | 
| train | 0 | 0 | 5999 | 2.007852255642414 | 
